Id,Common name,Scientific name
2,Acorn Woodpecker,Melanerpes formicivorus
3,American Avocet,Recurvirostra americana
4,American Bittern,Botaurus lentiginosus
5,American Coot,Fulica americana
6,American Crow,Corvus brachyrhynchos
7,American Goldfinch,Spinus tristis
8,American Kestrel,Falco sparverius
9,American Oystercatcher,Haematopus palliatus
10,American Redstart,Setophaga ruticilla
11,American Robin,Turdus migratorius
12,American White Pelican,Pelecanus erythrorhynchos
13,American Woodcock,Scolopax minor
14,Anhinga,Anhinga anhinga
15,Anna's Hummingbird,Calypte anna
16,Ash-Throated Flycatcher,Myiarchus cinerascens
17,Atlantic Puffin,Fratercula arctica
18,Audouin's Gull,Ichthyaetus audouinii
19,Baird's Sparrow,Ammodramus bairdii
20,Bald Eagle,Haliaeetus leucocephalus
21,Baltimore Oriole,Icterus galbula
22,Barn Owl,Tyto alba
23,Barn Swallow,Hirundo rustica
24,Barred Owl,Strix varia
25,Barrow's Goldeneye,Bucephala islandica
26,Bell's Vireo,Vireo bellii
27,Belted Kingfisher,Megaceryle alcyon
28,Bewick's Wren,Thryomanes bewickii
29,Black Redstart,Phoenicurus ochruros
30,Black Skimmer,Rynchops niger
31,Black Tern,Chlidonias niger
32,Black Vulture,Coragyps atratus
33,Black Woodpecker,Dryocopus martius
34,Black-Bellied Whistling-Duck,Dendrocygna autumnalis
35,Black-Billed Magpie,Pica hudsonia
36,Black-Chinned Hummingbird,Archilochus alexandri
37,Black-Crowned Night-Heron,Nycticorax nycticorax
38,Black-Headed Gull,Chroicocephalus ridibundus
39,Black-Necked Stilt,Himantopus mexicanus
40,Black-Tailed Godwit,Limosa limosa
41,Black-Throated Diver,Gavia arctica
42,Blue Grosbeak,Passerina caerulea
43,Blue Jay,Cyanocitta cristata
44,Blue-Gray Gnatcatcher,Polioptila caerulea
45,Blue-Winged Warbler,Vermivora cyanoptera
46,Bluethroat,Luscinia svecica
47,Bobolink,Dolichonyx oryzivorus
48,Bonelli's Eagle,Aquila fasciata
49,Brant,Branta bernicla
50,Brewer's Blackbird,Euphagus cyanocephalus
51,Broad-Winged Hawk,Buteo platypterus
52,Bronzed Cowbird,Molothrus aeneus
53,Brown Pelican,Pelecanus occidentalis
54,Brown-Headed Cowbird,Molothrus ater
55,Bullfinch,Pyrrhula pyrrhula
56,Burrowing Owl,Athene cunicularia
57,Bushtit,Psaltriparus minimus
58,California Condor,Gymnogyps californianus
59,California Quail,Callipepla californica
60,Canada Goose,Branta canadensis
61,Canvasback,Aythya valisineria
62,Carolina Chickadee,Poecile carolinensis
63,Carolina Wren,Thryothorus ludovicianus
64,Carrion Crow,Corvus corone
65,Cassin's Finch,Haemorhous cassinii
66,Cassin's Sparrow,Peucaea cassinii
67,Cedar Waxwing,Bombycilla cedrorum
68,Cerulean Warbler,Setophaga cerulea
69,Cetti's Warbler,Cettia cetti
70,Chestnut-Collared Longspur,Calcarius ornatus
71,Chihuahuan Raven,Corvus cryptoleucus
72,Chimney Swift,Chaetura pelagica
73,Chipping Sparrow,Spizella passerina
74,Clark's Grebe,Aechmophorus clarkii
75,Clark's Nutcracker,Nucifraga columbiana
76,Coal Tit,Periparus ater
77,Common Blackbird,Turdus merula
78,Common Buzzard,Buteo buteo
79,Common Chaffinch,Fringilla coelebs
80,Common Chiffchaff,Phylloscopus collybita
81,Common Cuckoo,Cuculus canorus
82,Common Goldeneye,Bucephala clangula
83,Common Grackle,Quiscalus quiscula
84,Common Kingfisher,Alcedo atthis
85,Common Little Bittern,Ixobrychus minutus
86,Common Loon,Gavia immer
87,Common Merganser,Mergus merganser
88,Common Moorhen,Gallinula chloropus
89,Common Nighthawk,Chordeiles minor
90,Common Nightingale,Luscinia megarhynchos
91,Common Raven,Corvus corax
92,Common Starling,Sturnus vulgaris
93,Common Swift,Apus apus
94,Common Yellowthroat,Geothlypis trichas
95,Cooper's Hawk,Accipiter cooperii
96,Corsican Nuthatch,Sitta whiteheadi
97,Dark-Eyed Junco,Junco hyemalis
98,Dickcissel,Spiza americana
99,Double-Crested Cormorant,Phalacrocorax auritus
100,Downy Woodpecker,Picoides pubescens
101,Dunnock,Prunella modularis
102,Eastern Bluebird,Sialia sialis
103,Eastern Imperial Eagle,Aquila heliaca
104,Eastern Kingbird,Tyrannus tyrannus
105,Eastern Phoebe,Sayornis phoebe
106,Eastern Screech-Owl,Megascops asio
107,Eleonora's Falcon,Falco eleonorae
108,Eurasian Collared-Dove,Streptopelia decaocto
109,Eurasian Golden Oriole,Oriolus oriolus
110,Eurasian Green Woodpecker,Picus viridis
111,Eurasian Hobby,Falco subbuteo
112,Eurasian Jay,Garrulus glandarius
113,Eurasian Magpie,Pica pica
114,Eurasian Nutcracker,Nucifraga caryocatactes
115,Eurasian Nuthatch,Sitta europaea
116,Eurasian Sparrowhawk,Accipiter nisus
117,Eurasian Tree Sparrow,Passer montanus
118,European Bee-Eater,Merops apiaster
119,European Goldfinch,Carduelis carduelis
120,European Honey Buzzard,Pernis apivorus
121,European Robin,Erithacus rubecula
122,European Roller,Coracias garrulus
123,European Turtle Dove,Streptopelia turtur
124,Ferruginous Hawk,Buteo regalis
125,Fish Crow,Corvus ossifragus
126,Forster's Tern,Sterna forsteri
127,Franklin's Gull,Leucophaeus pipixcan
128,Goldcrest,Regulus regulus
129,Golden Eagle,Aquila chrysaetos
130,Grasshopper Sparrow,Ammodramus savannarum
131,Gray Catbird,Dumetella carolinensis
132,Great Blue Heron,Ardea herodias
133,Great Crested Flycatcher,Myiarchus crinitus
134,Great Crested Grebe,Podiceps cristatus
135,Great Egret,Ardea alba
136,Great Horned Owl,Bubo virginianus
137,Great Tit,Parus major
138,Greater Flamingo,Phoenicopterus roseus
139,Greater Prairie-Chicken,Tympanuchus cupido
140,Greater Roadrunner,Geococcyx californianus
141,Green Heron,Butorides virescens
142,Grey Heron,Ardea cinerea
143,Greylag Goose,Anser anser
144,Griffon Vulture,Gyps fulvus
145,Hawfinch,Coccothraustes coccothraustes
146,Hermit Thrush,Catharus guttatus
147,Hooded Crow,Corvus cornix
148,Hooded Merganser,Lophodytes cucullatus
149,Hooded Warbler,Setophaga citrina
150,Horned Lark,Eremophila alpestris
151,House Finch,Haemorhous mexicanus
152,House Sparrow,Passer domesticus
153,House Wren,Troglodytes aedon
154,Inca Dove,Columbina inca
155,Indigo Bunting,Passerina cyanea
156,Juniper Titmouse,Baeolophus ridgwayi
157,Killdeer,Charadrius vociferus
158,King Rail,Rallus elegans
159,Lazuli Bunting,Passerina amoena
160,Lesser Whitethroat,Sylvia curruca
161,Lincoln's Sparrow,Melospiza lincolnii
162,Little Bustard,Tetrax tetrax
163,Little Owl,Athene noctua
164,Loggerhead Shrike,Lanius ludovicianus
165,Long-Tailed Tit,Aegithalos caudatus
166,Mallard,Anas platyrhynchos
167,Mississippi Kite,Ictinia mississippiensis
168,Moltoni's Warbler,Sylvia subalpina
169,Montagu's Harrier,Circus pygargus
170,Mountain Bluebird,Sialia currucoides
171,Mountain Chickadee,Poecile gambeli
172,Mourning Dove,Zenaida macroura
173,Mute Swan,Cygnus olor
174,Northern Bobwhite,Colinus virginianus
175,Northern Cardinal,Cardinalis cardinalis
176,Northern Flicker,Colaptes auratus
177,Northern Gannet,Morus bassanus
178,Northern Goshawk,Accipiter gentilis
179,Northern Harrier,Circus hudsonius
180,Northern Mockingbird,Mimus polyglottos
181,Northern Shoveler,Spatula clypeata
182,Osprey,Pandion haliaetus
183,Painted Bunting,Passerina ciris
184,Painted Whitestart,Myioborus pictus
185,Parrot Crossbill,Loxia pytyopsittacus
186,Peregrine Falcon,Falco peregrinus
187,Pied-Billed Grebe,Podilymbus podiceps
188,Pileated Woodpecker,Dryocopus pileatus
189,Pine Siskin,Spinus pinus
190,Prothonotary Warbler,Protonotaria citrea
191,Purple Gallinule,Porphyrio martinicus
192,Purple Martin,Progne subis
193,Pygmy Nuthatch,Sitta pygmaea
194,Red Crossbill,Loxia curvirostra
195,Red Kite,Milvus milvus
196,Red Knot,Calidris canutus
197,Red-Backed Shrike,Lanius collurio
198,Red-Bellied Woodpecker,Melanerpes carolinus
199,Red-Breasted Merganser,Mergus serrator
200,Red-Breasted Nuthatch,Sitta canadensis
201,Red-Cockaded Woodpecker,Picoides borealis
202,Red-Eyed Vireo,Vireo olivaceus
203,Red-Headed Woodpecker,Melanerpes erythrocephalus
204,Red-Legged Partridge,Alectoris rufa
205,Red-Shouldered Hawk,Buteo lineatus
206,Red-Tailed Hawk,Buteo jamaicensis
207,Red-Winged Blackbird,Agelaius phoeniceus
208,Ring-Billed Gull,Larus delawarensis
209,Rose-Breasted Grosbeak,Pheucticus ludovicianus
210,Roseate Spoonbill,Platalea ajaja
211,Ruby-Crowned Kinglet,Regulus calendula
212,Ruby-Throated Hummingbird,Archilochus colubris
213,Ruddy Duck,Oxyura jamaicensis
214,Ruff,Calidris pugnax
215,Sandhill Crane,Antigone canadensis
216,Savannah Sparrow,Passerculus sandwichensis
217,Savi's Warbler,Locustella luscinioides
218,Say's Phoebe,Sayornis saya
219,Scaled Quail,Callipepla squamata
220,Scissor-Tailed Flycatcher,Tyrannus forficatus
221,Short-Toed Treecreeper,Certhia brachydactyla
222,Snow Bunting,Plectrophenax nivalis
223,Snowy Egret,Egretta thula
224,Snowy Owl,Bubo scandiacus
225,Song Sparrow,Melospiza melodia
226,Spotted Owl,Strix occidentalis
227,Spotted Sandpiper,Actitis macularius
228,Spotted Towhee,Pipilo maculatus
229,Sprague's Pipit,Anthus spragueii
230,Squacco Heron,Ardeola ralloides
231,Steller's Jay,Cyanocitta stelleri
232,Swainson's Hawk,Buteo swainsoni
233,Thekla's Lark,Galerida theklae
234,Tree Swallow,Tachycineta bicolor
235,Trumpeter Swan,Cygnus buccinator
236,Tufted Titmouse,Baeolophus bicolor
237,Turkey Vulture,Cathartes aura
238,Vaux's Swift,Chaetura vauxi
239,Violet-Green Swallow,Tachycineta thalassina
240,Western Meadowlark,Sturnella neglecta
241,Western Tanager,Piranga ludoviciana
242,White Stork,Ciconia ciconia
243,White Wagtail,Motacilla alba
244,White-Backed Woodpecker,Dendrocopos leucotos
245,White-Breasted Nuthatch,Sitta carolinensis
246,White-Crowned Sparrow,Zonotrichia leucophrys
247,White-Faced Ibis,Plegadis chihi
248,White-Throated Dipper,Cinclus cinclus
249,White-Throated Swift,Aeronautes saxatalis
250,Whooping Crane,Grus americana
251,Wild Turkey,Meleagris gallopavo
252,Willet,Tringa semipalmata
253,Wilson's Snipe,Gallinago delicata
254,Wilson's Storm Petrel,Oceanites oceanicus
255,Wood Duck,Aix sponsa
256,Wood Stork,Mycteria americana
257,Yellow-Bellied Sapsucker,Sphyrapicus varius
258,Yellow-Billed Cuckoo,Coccyzus americanus
259,Yellow-Breasted Chat,Icteria virens
260,Yellow-Headed Blackbird,Xanthocephalus xanthocephalus
261,Yellow-Rumped Warbler,Setophaga coronata
262,Yellowhammer,Emberiza citrinella
263,Abbott's Booby,Papasula abbotti
264,Australasian Pipit,Anthus novaeseelandiae
265,Australasian Shoveler,Spatula rhynchotis
266,Australian Ibis,Threskiornis moluccus
267,Australian Magpie,Gymnorhina tibicen
268,Australian Owlet-Nightjar,Aegotheles cristatus
269,Australian Raven,Corvus coronoides
270,Australian Reed Warbler,Acrocephalus australis
271,Australian Shelduck,Tadorna tadornoides
272,Australian Zebra Finch,Taeniopygia castanotis
273,Black Noddy,Anous minutus
274,Black Swan,Cygnus atratus
275,Black-Shouldered Kite,Elanus axillaris
276,Blyth's Hornbill,Rhyticeros plicatus
277,Brolga,Antigone rubicunda
278,Brown Falcon,Falco berigora
279,Budgerigar,Melopsittacus undulatus
280,Cockatiel,Nymphicus hollandicus
281,Count Raggi's Bird-of-Paradise,Paradisaea raggiana
282,Crested Pigeon,Ocyphaps lophotes
283,Crimson Chat,Epthianura tricolor
284,Eastern Rosella,Platycercus eximius
285,Eastern Whipbird,Psophodes olivaceus
286,Emu,Dromaius novaehollandiae
287,Galah,Eolophus roseicapilla
288,Golden-Headed Cisticola,Cisticola exilis
289,Gould's Finch,Erythrura gouldiae
290,Green Pygmy-Goose,Nettapus pulchellus
291,Grey Butcherbird,Cracticus torquatus
292,Grey Shrikethrush,Colluricincla harmonica
293,Grey Teal,Anas gracilis
294,Grey Warbler,Gerygone igata
295,Grey-Headed Mannikin,Lonchura caniceps
296,Horsfield's Bronze-Cuckoo,Chrysococcyx basalis
297,Horsfield's Bushlark,Mirafra javanica
298,Kea,Nestor notabilis
299,Kelp Gull,Larus dominicanus
300,Kererū,Hemiphaga novaeseelandiae
301,Kākāpō,Strigops habroptila
302,Korimako,Anthornis melanura
303,Laughing Kookaburra,Dacelo novaeguineae
304,Lesser Frigatebird,Fregata ariel
305,Lewin's Honeyeater,Meliphaga lewinii
306,Little Penguin,Eudyptula minor
307,Little Pied Cormorant,Microcarbo melanoleucos
308,Magpie-Lark,Grallina cyanoleuca
309,Major Mitchell's Cockatoo,Lophochroa leadbeateri
310,Malleefowl,Leipoa ocellata
311,Maned Duck,Chenonetta jubata
312,Many-Colored Fruit-Dove,Ptilinopus perousii
313,Masked Lapwing,Vanellus miles
314,Mistletoebird,Dicaeum hirundinaceum
315,Musk Duck,Biziura lobata
316,New Holland Honeyeater,Phylidonyris novaehollandiae
317,Noisy Miner,Manorina melanocephala
318,North Island Brown Kiwi,Apteryx mantelli
319,Orange-Footed Scrubfowl,Megapodius reinwardt
320,Pacific Black Duck,Anas superciliosa
321,Peaceful Dove,Geopelia placida
322,Pesquet's Parrot,Psittrichas fulgidus
323,Pheasant Coucal,Centropus phasianinus
324,Pink-Eared Duck,Malacorhynchus membranaceus
325,Plains-Wanderer,Pedionomus torquatus
326,Princess Stephanie's Astrapia,Astrapia stephaniae
327,Pūkeko,Porphyrio melanotus
328,Rainbow Lorikeet,Trichoglossus moluccanus
329,Red Wattlebird,Anthochaera carunculata
330,Red-Backed Fairywren,Malurus melanocephalus
331,Red-Capped Robin,Petroica goodenovii
332,Red-Necked Avocet,Recurvirostra novaehollandiae
333,Red-Winged Parrot,Aprosmictus erythropterus
334,Regent Bowerbird,Sericulus chrysocephalus
335,Royal Spoonbill,Platalea regia
336,Rufous Night-Heron,Nycticorax caledonicus
337,Rufous Owl,Ninox rufa
338,Rufous-Banded Honeyeater,Conopophila albogularis
339,Sacred Kingfisher,Todiramphus sanctus
340,Silvereye,Zosterops lateralis
341,South Island Robin,Petroica australis
342,Southern Cassowary,Casuarius casuarius
343,Spangled Drongo,Dicrurus bracteatus
344,Splendid Fairywren,Malurus splendens
345,Spotless Crake,Zapornia tabuensis
346,Stubble Quail,Coturnix pectoralis
347,Sulphur-Crested Cockatoo,Cacatua galerita
348,Superb Lyrebird,Menura novaehollandiae
349,Tawny Frogmouth,Podargus strigoides
350,Tūī,Prosthemadera novaeseelandiae
351,Wedge-Tailed Eagle,Aquila audax
352,Welcome Swallow,Hirundo neoxena
353,White-Bellied Sea-Eagle,Haliaeetus leucogaster
354,White-Breasted Woodswallow,Artamus leucoryn
355,White-Faced Heron,Egretta novaehollandiae
356,Willie-Wagtail,Rhipidura leucophrys
357,Wrybill,Anarhynchus frontalis
