Id,Common name,Scientific name
358,Acadian Flycatcher,Empidonax virescens
359,American Cliff Swallow,Petrochelidon pyrrhonota
360,American Wigeon,Mareca americana
361,Black Rosy Finch,Leucosticte atrata
362,Black-and-White Warbler,Mniotilta varia
363,Blue-Winged Teal,Spatula discors
364,Boat-Tailed Grackle,Quiscalus major
365,Brown Creeper,Certhia americana
366,Brown Thrasher,Toxostoma rufum
367,Cactus Wren,Campylorhynchus brunneicapillus
368,California Scrub-Jay,Aphelocoma californica
369,Eastern Meadowlark,Sturnella magna
370,Eastern Whip-Poor-Will,Antrostomus vociferus
371,Laughing Gull,Leucophaeus atricilla
372,Lesser Prairie-Chicken,Tympanuchus pallidicinctus
373,Mountain Quail,Oreortyx pictus
374,Phainopepla,Phainopepla nitens
375,Prairie Falcon,Falco mexicanus
376,Purple Finch,Haemorhous purpureus
377,Pyrrhuloxia,Cardinalis sinuatus
378,Scarlet Tanager,Piranga olivacea
379,Surfbird,Calidris virgata
380,Virginia Rail,Rallus limicola
381,Western Screech-Owl,Megascops kennicottii
382,Yellow-Billed Magpie,Pica nuttallii
383,Alpine Swift,Tachymarptis melba
384,Black-Necked Grebe,Podiceps nigricollis
385,Common Crane,Grus grus
386,Common Eider,Somateria mollissima
387,Common Murre,Uria aalge
388,Common Pheasant,Phasianus colchicus
389,Common Snipe,Gallinago gallinago
390,Common Tern,Sterna hirundo
391,Common Wood Pigeon,Columba palumbus
392,Crested Tit,Lophophanes cristatus
393,Eurasian Curlew,Numenius arquata
394,Eurasian Siskin,Spinus spinus
395,Eurasian Wren,Troglodytes troglodytes
396,Eurasian Wryneck,Jynx torquilla
397,European Herring Gull,Larus argentatus
398,European Serin,Serinus serinus
399,Iberian Magpie,Cyanopica cooki
400,Italian Sparrow,Passer italiae
401,Marsh Tit,Poecile palustris
402,Mediterranean Shearwater,Puffinus yelkouan
403,Merlin,Falco columbarius
404,Red-Footed Falcon,Falco vespertinus
405,Spotless Starling,Sturnus unicolor
406,Tree Pipit,Anthus trivialis
407,Western House Martin,Delichon urbicum
408,Bali Starling,Leucopsar rothschildi
409,Bengal Florican,Houbaropsis bengalensis
410,Black-and-Yellow Broadbill,Eurylaimus ochromalus
411,Blood Pheasant,Ithaginis cruentus
412,Brahminy Starling,Sturnia pagodarum
413,Chinese Copper Pheasant,Chrysolophus amherstiae
414,Crimson-Bellied Tragopan,Tragopan temminckii
415,Daurian Jackdaw,Coloeus dauuricus
416,Demoiselle Crane,Grus virgo
417,Giant Fish Owl,Ketupa blakistoni
418,Great Argus,Argusianus argus
419,Great Eared Nightjar,Lyncornis macrotis
420,Greater Racket-Tailed Drongo,Dicrurus paradiseus
421,Greater Spotted Eagle,Clanga clanga
422,Indian Courser,Cursorius coromandelicus
423,Indian Paradise Flycatcher,Terpsiphone paradisi
424,Luzon Bleeding-Heart,Gallicolumba luzonica
425,Nicobar Pigeon,Caloenas nicobarica
426,Pacific Sea-Eagle,Haliaeetus pelagicus
427,Pinktail,Urocynchramus pylzowi
428,Purple Sunbird,Cinnyris asiaticus
429,Steppe Eagle,Aquila nipalensis
430,Sulu Hornbill,Anthracoceros montani
431,Taiwan Blue-Magpie,Urocissa caerulea
432,Whiskered Treeswift,Hemiprocne comata
433,Asian Emerald Dove,Chalcophaps indica
434,Asian Koel,Eudynamys scolopaceus
435,Azure Tit,Cyanistes cyanus
436,Baya Weaver,Ploceus philippinus
437,Bearded Reedling,Panurus biarmicus
438,Black Drongo,Dicrurus macrocercus
439,Black Stork,Ciconia nigra
440,Black-Naped Oriole,Oriolus chinensis
441,Blue Rock-Thrush,Monticola solitarius
442,Brahminy Kite,Haliastur indus
443,Brambling,Fringilla montifringilla
444,Brown Shrike,Lanius cristatus
445,Common Green Magpie,Cissa chinensis
446,Common Iora,Aegithina tiphia
447,Common Myna,Acridotheres tristis
448,Common Sandpiper,Actitis hypoleucos
449,Common Tailorbird,Orthotomus sutorius
450,Common Teal,Anas crecca
451,Coppersmith Barbet,Psilopogon haemacephalus
452,Crested Ibis,Nipponia nippon
453,Crested Lark,Galerida cristata
454,Desert Finch,Rhodospiza obsoleta
455,Desert Wheatear,Oenanthe deserti
456,Eurasian Coot,Fulica atra
457,Eurasian Eagle-Owl,Bubo bubo
458,Eurasian Hoopoe,Upupa epops
459,Eurasian Kestrel,Falco tinnunculus
460,Eurasian Marsh-Harrier,Circus aeruginosus
461,Eurasian Treecreeper,Certhia familiaris
462,Fire-Fronted Serin,Serinus pusillus
463,Forest Owlet,Athene blewitti
464,Golden Pheasant,Chrysolophus pictus
465,Graceful Prinia,Prinia gracilis
466,Grandala,Grandala coelicolor
467,Gray Wagtail,Motacilla cinerea
468,Great Cormorant,Phalacrocorax carbo
469,Great Hornbill,Buceros bicornis
470,Great Indian Bustard,Ardeotis nigriceps
471,Great Spotted Woodpecker,Dendrocopos major
472,Greater Adjutant,Leptoptilos dubius
473,Green Bee-Eater,Merops orientalis
474,Green Pheasant,Phasianus colchicus versicolor
475,Himalayan Monal,Lophophorus impejanus
476,House Crow,Corvus splendens
477,Ibisbill,Ibidorhyncha struthersii
478,Indian Peafowl,Pavo cristatus
479,Indian Vulture,Gyps indicus
480,Large-Billed Crow,Corvus macrorhynchos
481,Little Egret,Egretta garzetta
482,Little Grebe,Tachybaptus ruficollis
483,Little Ringed Plover,Charadrius dubius
484,Mandarin Duck,Aix galericulata
485,Olive-Backed Sunbird,Cinnyris jugularis
486,Oriental Bay-Owl,Phodilus badius
487,Oriental Magpie-Robin,Copsychus saularis
488,Philippine Eagle,Pithecophaga jefferyi
489,Plumbeous Redstart,Phoenicurus fuliginosus
490,Purple Heron,Ardea purpurea
491,Red Avadavat,Amandava amandava
492,Red Junglefowl,Gallus gallus
493,Red-Crowned Crane,Grus japonensis
494,Red-Vented Bulbul,Pycnonotus cafer
495,Red-Wattled Lapwing,Vanellus indicus
496,Rhinoceros Auklet,Cerorhinca monocerata
497,Rock Pigeon,Columba livia
498,Rook,Corvus frugilegus
499,Rose-Ringed Parakeet,Psittacula krameri
500,Rosy Starling,Pastor roseus
501,Ruddy Shelduck,Tadorna ferruginea
502,Sarus Crane,Antigone antigone
503,Satyr Tragopan,Tragopan satyra
504,Scaly-Breasted Munia,Lonchura punctulata
505,Small Minivet,Pericrocotus cinnamomeus
506,Smew,Mergellus albellus
507,Spoon-Billed Sandpiper,Calidris pygmea
508,Spotted Dove,Streptopelia chinensis
509,Sri Lanka Blue-Magpie,Urocissa ornata
510,Sri Lanka Frogmouth,Batrachostomus moniliger
511,Stork-Billed Kingfisher,Pelargopsis capensis
512,Trumpeter Finch,Bucanetes githagineus
513,Twite,Linaria flavirostris
514,Verditer Flycatcher,Eumyias thalassinus
515,Violet Cuckoo,Chrysococcyx xanthorhynchus
516,White-Browed Tit-Warbler,Leptopoecile sophiae
517,White-Crested Laughingthrush,Garrulax leucolophus
518,White-Headed Duck,Oxyura leucocephala
519,White-Throated Kingfisher,Halcyon smyrnensis
520,Willow Tit,Poecile montanus
521,Yellow Bittern,Ixobrychus sinensis
522,Zebra Dove,Geopelia striata
523,Black-Capped Chickadee,Poecile atricapillus
524,Blackpoll Warbler,Setophaga striata
525,Canada Jay,Perisoreus canadensis
526,Canada Warbler,Cardellina canadensis
527,Dovekie,Alle alle
528,Evening Grosbeak,Hesperiphona vespertina
529,Great Grey Owl,Strix nebulosa
530,Greater Scaup,Aythya marila
531,Greater Snow Goose,Anser caerulescens atlanticus
532,Gyrfalcon,Falco rusticolus
533,Harlequin Duck,Histrionicus histrionicus
534,Ivory Gull,Pagophila eburnea
535,King Eider,Somateria spectabilis
536,Northern Pintail,Anas acuta
537,Northern Saw-Whet Owl,Aegolius acadicus
538,Ovenbird,Seiurus aurocapilla
539,Pine Grosbeak,Pinicola enucleator
540,Piping Plover,Charadrius melodus
541,Qupanuaq,Zonotrichia querula
542,Rock Ptarmigan,Lagopus muta
543,Rufous Hummingbird,Selasphorus rufus
544,Rusty Blackbird,Euphagus carolinus
545,Sharp-Tailed Grouse,Tympanuchus phasianellus
546,Tufted Puffin,Fratercula cirrhata
547,Varied Thrush,Ixoreus naevius
548,Dartford Warbler,Curruca undata
549,Eurasian Blackcap,Sylvia atricapilla
550,Eurasian Blue Tit,Cyanistes caeruleus
551,Eurasian Skylark,Alauda arvensis
552,Eurasian Wigeon,Mareca penelope
553,European Golden Plover,Pluvialis apricaria
554,European Greenfinch,Chloris chloris
555,European Shag,Gulosus aristotelis
556,European Stonechat,Saxicola rubicola
557,Garden Warbler,Sylvia borin
558,Lesser Spotted Woodpecker,Dryobates minor
559,Manx Shearwater,Puffinus puffinus
560,Marsh Warbler,Acrocephalus palustris
561,Meadow Pipit,Anthus pratensis
562,Ruddy Turnstone,Arenaria interpres
563,Sand Martin,Riparia riparia
564,Sandwich Tern,Thalasseus sandvicensis
565,Song Thrush,Turdus philomelos
566,Tawny Owl,Strix aluco
567,Tundra Swan,Cygnus columbianus
568,Western Capercaillie,Tetrao urogallus
569,Western Jackdaw,Coloeus monedula
570,Western Yellow Wagtail,Motacilla flava
571,Whooper Swan,Cygnus cygnus
572,Willow Warbler,Phylloscopus trochilus
573,Black Robin,Petroica traversi
574,Blue Duck,Hymenolaimus malacorhynchos
575,Fernbird,Poodytes punctatus
576,Great Spotted Kiwi,Apteryx maxima
577,Long-Tailed Cuckoo,Urodynamis taitensis
578,Magenta Petrel,Pterodroma magentae
579,New Zealand Dabchick,Poliocephalus rufopectus
580,New Zealand Fairy Tern,Sternula nereis davisae
581,New Zealand Falcon,Falco novaeseelandiae
582,New Zealand Rock Wren,Xenicus gilviventris
583,New Zealand Scaup,Aythya novaeseelandiae
584,North Island Kōkako,Callaeas wilsoni
585,Paradise Shelduck,Tadorna variegata
586,Red-Crowned Parakeet,Cyanoramphus novaezelandiae
587,Rifleman,Acanthisitta chloris
588,Shore Plover,Thinornis novaeseelandiae
589,South Island Saddleback,Philesturnus carunculatus
590,South Island Takahē,Porphyrio hochstetteri
591,Spotted Shag,Phalacrocorax punctatus
592,Stitchbird,Notiomystis cincta
593,Tomtit,Petroica macrocephala
594,Variable Oystercatcher,Haematopus unicolor
595,Weka,Gallirallus australis
596,Yellow-Eyed Penguin,Megadyptes antipodes
597,Yellowhead,Mohoua ochrocephala
598,Altamira Oriole,Icterus gularis
599,Amazon Kingfisher,Chloroceryle amazona
600,Amazonian Parrotlet,Nannopsittaca dachilleae
601,American Flamingo,Phoenicopterus ruber
602,American Golden-Plover,Pluvialis dominica
603,Andean Cock-of-the-Rock,Rupicola peruvianus
604,Andean Condor,Vultur gryphus
605,Antioquia Brushfinch,Atlapetes blancae
606,Bananaquit,Coereba flaveola
607,Barred Antshrike,Thamnophilus doliatus
608,Bat Falcon,Falco rufigularis
609,Black Rail,Laterallus jamaicensis
610,Blue-and-Yellow Macaw,Ara ararauna
611,Blue-Black Grassquit,Volatinia jacarina
612,Blue-Footed Booby,Sula nebouxii
613,Blue-Grey Tanager,Thraupis episcopus
614,Blue-Headed Parrot,Pionus menstruus
615,Boat-Billed Heron,Cochlearius cochlearius
616,Brazilian Merganser,Mergus octosetaceus
617,Brazilian Teal,Amazonetta brasiliensis
618,Chiloé Wigeon,Mareca sibilatrix
619,Clay-Colored Thrush,Turdus grayi
620,Cocoi Heron,Ardea cocoi
621,Common Pauraque,Nyctidromus albicollis
622,Correndera Pipit,Anthus correndera
623,Crested Oropendola,Psarocolius decumanus
624,Elegant Trogon,Trogon elegans
625,Ferruginous Pygmy-Owl,Glaucidium brasilianum
626,Firewood-Gatherer,Anumbius annumbi
627,Golden-Headed Manakin,Ceratopipra erythrocephala
628,Grassland Sparrow,Ammodramus humeralis
629,Great Curassow,Crax rubra
630,Great Kiskadee,Pitangus sulphuratus
631,Great Potoo,Nyctibius grandis
632,Great-Tailed Grackle,Quiscalus mexicanus
633,Greater Rhea,Rhea americana
634,Harpy Eagle,Harpia harpyja
635,Hoatzin,Opisthocomus hoazin
636,Hooded Siskin,Spinus magellanicus
637,Horned Guan,Oreophasis derbianus
638,Inca Tern,Larosterna inca
639,Jabiru,Jabiru mycteria
640,Keel-Billed Toucan,Ramphastos sulfuratus
641,King Vulture,Sarcoramphus papa
642,Least Seedsnipe,Thinocorus rumicivorus
643,Limpkin,Aramus guarauna
644,Lineated Woodpecker,Dryocopus lineatus
645,Little Blue Heron,Egretta caerulea
646,Little Tinamou,Crypturellus soui
647,Long-Wattled Umbrellabird,Cephalopterus penduliger
648,Magnificent Frigatebird,Fregata magnificens
649,Marsh Seedeater,Sporophila palustris
650,Monk Parakeet,Myiopsitta monachus
651,Muscovy Duck,Cairina moschata
652,Nanday Parakeet,Aratinga nenday
653,Neotropic Cormorant,Nannopterum brasilianum
654,Ocellated Turkey,Meleagris ocellata
655,Oilbird,Steatornis caripensis
656,Orange-Breasted Bunting,Passerina leclancherii
657,Orinoco Goose,Neochen jubata
658,Paradise Tanager,Tangara chilensis
659,Peruvian Sierra-Finch,Phrygilus punensis
660,Plain Chachalaca,Ortalis vetula
661,Red-Billed Scythebill,Campylorhamphus trochilirostris
662,Red-Breasted Meadowlark,Leistes militaris
663,Red-Crested Cardinal,Paroaria coronata
664,Red-Headed Barbet,Eubucco bourcierii
665,Red-Legged Seriema,Cariama cristata
666,Resplendent Quetzal,Pharomachrus mocinno
667,Roadside Hawk,Rupornis magnirostris
668,Ruddy Ground Dove,Columbina talpacoti
669,Rufescent Tiger-Heron,Tigrisoma lineatum
670,Rufous Hornero,Furnarius rufus
671,Rufous-Collared Sparrow,Zonotrichia capensis
672,Rufous-Naped Wren,Campylorhynchus rufinucha
673,Savanna Hawk,Buteogallus meridionalis
674,Scarlet Ibis,Eudocimus ruber
675,Scarlet Macaw,Ara macao
676,Screaming Piha,Lipaugus vociferans
677,Shiny Cowbird,Molothrus bonariensis
678,Smooth-Billed Ani,Crotophaga ani
679,Snowy Albatross,Diomedea exulans
680,Southern Lapwing,Vanellus chilensis
681,Southern Rough-Winged Swallow,Stelgidopteryx ruficollis
682,Southern Screamer,Chauna torquata
683,Spectacled Owl,Pulsatrix perspicillata
684,Spotted Nothura,Nothura maculosa
685,Spotted Puffbird,Bucco tamatia
686,Squirrel Cuckoo,Piaya cayana
687,Strange-Tailed Tyrant,Alectrurus risora
688,Sun Parakeet,Aratinga solstitialis
689,Sunbittern,Eurypyga helias
690,Sungrebe,Heliornis fulica
691,Titicaca Grebe,Rollandia microptera
692,Toco Toucan,Ramphastos toco
693,Tropical Kingbird,Tyrannus melancholicus
694,Tropical Parula,Setophaga pitiayumi
695,Tropical Royal Flycatcher,Onychorhynchus coronatus
696,Turquoise-Browed Motmot,Eumomota superciliosa
697,Ultramarine Grosbeak,Cyanoloxia brissonii
698,Vampire Ground-Finch,Geospiza septentrionalis
699,Variable Seedeater,Sporophila corvina
700,Verdin,Auriparus flaviceps
701,Vermilion Flycatcher,Pyrocephalus rubinus
702,Wattled Jacana,Jacana jacana
703,Western Rockhopper Penguin,Eudyptes chrysocome
704,White-Browed Tit-Spinetail,Leptasthenura xenothorax
705,White-Throated Magpie-Jay,Cyanocorax formosus
706,White-Tipped Dove,Leptotila verreauxi
707,Yellow Warbler,Setophaga petechia
708,Yellow-Headed Caracara,Daptrius chimachima
